AGI,sen1s0c,sen1m0c,sen1s1c,sen1s2c,sen1s3c,sen1m1c,sen1m2c,sen1m3c,sen2s0c,sen2m0c,sen2s1c,sen2s2c,sen2s3c,sen2m1c,sen2m2c,sen2m3c,houses0c,housem0c,houses1c,houses2c,houses3c,housem1c,housem2c,housem3c
0,0,0,0,0,0,0,0,0,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
500,0,0,0,0,0,0,0,0,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
1000,0,0,0,0,0,0,0,0,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
1500,0,0,0,0,0,0,0,0,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
2000,0,0,0,0,0,0,0,0,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
2500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
3000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
3500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
4000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
4500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
5000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
5500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
6000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
6500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
7000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
7500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
8000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
8500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
9000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
9500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
10000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
10500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
11000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
11500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
12000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
12500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
13000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
13500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
14000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
14500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
15000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
15500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
16000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
16500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
17000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
17500,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
18000,600,1200,1100,1600,2100,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
18500,650,1200,1150,1650,2150,1700,2200,2700,1200,2400,1700,2200,2700,2900,3400,3900,1500,3000,3000,4500,6000,4500,6000,7500
